time,id,x,y,w,h,vx,vy,v,ax,ay,a,Speed2D-(m/s),VelForward-(m/s),VelLateral-(m/s)
65644.0,3.0,313.3465,86.7047,13.8566,3.4214,-12.1399,0.1275,12.1407,-0.1232,-0.1078,0.1232,11.81,11.8,0.43000001
65644.03,3.0,312.9421,86.7087,14.3698,3.4214,-12.1309,0.1211,12.1315,0.2694,-0.1925,-0.2694,11.81,11.8,0.44
65644.06,3.0,312.5379,86.7124,14.3698,3.5925,-12.125,0.1116,12.1256,0.1771,-0.2848,-0.1771,11.82,11.81,0.41999999
65644.1,3.0,312.1337,86.7158,14.3698,3.5925,-12.1268,0.1006,12.1274,-0.0539,-0.331,0.0539,11.81,11.8,0.43000001
65644.13,3.0,311.7292,86.7187,13.8566,3.5925,-12.1358,0.08800000000000001,12.1361,-0.2694,-0.3772,0.2694,11.8,11.8,0.41
65644.16,3.0,311.3245,86.7211,14.3698,3.4214,-12.1402,0.0724,12.1404,-0.1309,-0.4696,0.1309,11.8,11.8,0.41
65644.2,3.0,310.9199,86.7231,14.3698,3.5925,-12.1379,0.0611,12.1381,0.0693,-0.3387,-0.0693,11.8,11.8,0.41
65644.23,3.0,310.5153,86.7249,14.3698,3.5069,-12.1392,0.0526,12.1392,-0.0385,-0.254,0.0385,11.81,11.8,0.40000001
65644.26,3.0,310.1108,86.7265,14.883,3.5069,-12.1335,0.0477,12.1335,0.1694,-0.1463,-0.1694,11.82,11.81,0.41
65644.3,3.0,309.7068,86.728,14.883,3.5069,-12.1217,0.0446,12.1217,0.3541,-0.0924,-0.3541,11.82,11.81,0.40000001
65644.33,3.0,309.3029,86.7294,14.3698,3.5069,-12.1155,0.0423,12.1155,0.1848,-0.0693,-0.1848,11.83,11.82,0.38
65644.36,3.0,308.8991,86.7307,14.3698,3.4214,-12.1145,0.039,12.1145,0.0308,-0.1001,-0.0308,11.82,11.82,0.41
65644.4,3.0,308.4956,86.7318,14.3698,3.4214,-12.1061,0.0326,12.1061,0.254,-0.1925,-0.254,11.82,11.82,0.40000001
65644.43,3.0,308.0926,86.7326,14.3698,3.4214,-12.0886,0.0244,12.0886,0.5235,-0.2463,-0.5235,11.82,11.82,0.38
65644.46,3.0,307.6902,86.7331,14.3698,3.4214,-12.0717,0.0146,12.0717,0.5081,-0.2925,-0.5081,11.82,11.81,0.38999999
65644.5,3.0,307.289,86.7332,13.8566,3.4214,-12.0373,0.0026,12.0373,1.0315,-0.3618,-1.0315,11.82,11.82,0.38
65644.53,3.0,306.8887,86.7328,14.3698,3.5925,-12.0091,-0.011,12.0091,0.8468,-0.408,-0.8468,11.82,11.82,0.38999999
65644.56,3.0,306.4890000000001,86.7318,14.3698,3.4214,-11.9906,-0.0293,11.9906,0.5543,-0.5466,-0.5543,11.82,11.82,0.38
65644.6,3.0,306.0898,86.7303,14.3698,3.4214,-11.9744,-0.0444,11.9744,0.485,-0.4542,-0.485,11.82,11.82,0.37
65644.63,3.0,305.6908,86.7284,14.883,3.5925,-11.9713,-0.059,11.9716,0.0924,-0.4388,-0.0924,11.83,11.82,0.38
65644.66,3.0,305.2915,86.726,13.8566,3.4214,-11.9798,-0.0703,11.9801,-0.254,-0.3387,0.254,11.83,11.82,0.37
65644.7,3.0,304.8922,86.7232,13.8566,3.4214,-11.9795,-0.0862,11.9798,0.0077,-0.4773,-0.0077,11.82,11.82,0.37
