time,id,x,y,w,h,vx,vy,v,ax,ay,a,Speed2D-(m/s),VelForward-(m/s),VelLateral-(m/s)
66024.34,3.0,313.8787,112.4088,12.8571,7.7143,-8.4739,-3.826,9.2975,-0.1157,-0.2546,0.2083,10.43,10.36,-1.2
66024.37,3.0,313.5956,112.2812,13.3714,7.7143,-8.4934,-3.8286,9.3165,-0.5863,-0.0771,0.5631,10.42,10.35,-1.21
66024.4,3.0,313.3117,112.1536,13.3714,7.7143,-8.5181,-3.8273,9.3384,-0.7406,0.0386,0.6557,10.39,10.32,-1.21
66024.44,3.0,313.0268,112.026,13.8857,7.8,-8.5451,-3.8301,9.3641,-0.81,-0.0849,0.7714,10.37,10.3,-1.22
66024.47,3.0,312.7412,111.8983,13.3714,7.5429,-8.568999999999999,-3.8291,9.3857,-0.7174,0.0309,0.6403,10.33,10.26,-1.2
66024.5,3.0,312.455,111.7707,13.3714,7.4571,-8.5852,-3.8278,9.3999,-0.486,0.0386,0.4243,10.32,10.24,-1.21
66024.54,3.0,312.1690000000001,111.6431,13.3714,7.3714,-8.5801,-3.8301,9.3963,0.1543,-0.0694,-0.1157,10.3,10.23,-1.2
66024.57,3.0,311.8836,111.5153,13.3714,7.3714,-8.5621,-3.8327,9.3808,0.54,-0.0771,-0.4629,10.27,10.2,-1.22
66024.6,3.0,311.5995,111.3876,13.3714,7.2,-8.5227,-3.8319,9.3446,1.1803,0.0231,-1.0877,10.26,10.19,-1.1900001
66024.64,3.0,311.317,111.2599,12.8571,7.2,-8.4775,-3.8314,9.3032,1.3577,0.0154,-1.242,10.23,10.16,-1.2
66024.67,3.0,311.0359,111.1323,12.8571,7.2,-8.4315,-3.8268,9.2592,1.3809,0.1389,-1.3114,10.21,10.14,-1.2
66024.7,3.0,310.7565,111.005,12.8571,7.2,-8.3829,-3.8186,9.2116,1.4580000000000002,0.2469,-1.4271,10.19,10.12,-1.21
66024.74,3.0,310.4779,110.8781,12.3429,7.1143,-8.3587,-3.8073,9.1849,0.7251,0.3394,-0.8023,10.18,10.1,-1.22
66024.77,3.0,310.1991,110.7514,12.3429,7.2857,-8.3631,-3.8006,9.1862,-0.1311,0.2006,0.0386,10.17,10.1,-1.21
66024.8,3.0,309.9196,110.6249,13.3714,7.5428,-8.3836,-3.7967,9.2034,-0.6171,0.1157,0.5169,10.16,10.09,-1.22
66024.84,3.0,309.6394,110.4985,13.3714,7.4571,-8.4075,-3.7911,9.2227,-0.7174,0.1697,0.5863,10.14,10.07,-1.22
66024.87,3.0,309.3579,110.3722,13.3714,7.4572,-8.4446,-3.79,9.2561,-1.1109,0.0309,1.0029,10.14,10.07,-1.23
66024.9,3.0,309.0745,110.2458,13.3714,7.3714,-8.5032,-3.7916,9.3101,-1.7589,-0.0463,1.6277,10.14,10.07,-1.22
66024.94,3.0,308.7888,110.1193,13.8857,7.2857,-8.5693,-3.7929,9.3711,-1.9826,-0.0386,1.8283,10.16,10.09,-1.24
66024.97,3.0,308.501,109.993,13.8857,7.3714,-8.6341,-3.7908,9.4297,-1.944,0.0617,1.7511,10.15,10.08,-1.1900001
66025.0,3.0,308.2116,109.8668,13.8857,7.3714,-8.6814,-3.7841,9.4703,-1.4194,0.2006,1.2189,10.16,10.08,-1.24
66025.04,3.0,307.9211,109.7413,13.8857,7.2857,-8.7166,-3.7669,9.4958,-1.0569,0.5169,0.7637,10.14,10.06,-1.23
66025.07,3.0,307.6301,109.6165,13.3714,7.2,-8.7295,-3.7448,9.4989,-0.3857,0.6634,0.0926,10.12,10.05,-1.22
66025.1,3.0,307.3391,109.4924,13.3714,7.2,-8.731,-3.7203,9.4906,-0.0463,0.7329,-0.2469,10.1,10.03,-1.22
66025.14,3.0,307.0483,109.3692,12.8571,7.1143,-8.7238,-3.6962,9.4744,0.21600000000000005,0.7251,-0.486,10.1,10.03,-1.23
66025.17,3.0,306.7579,109.2468,13.8857,7.2,-8.7094,-3.673,9.4523,0.4320000000000001,0.6943,-0.6711,10.12,10.04,-1.21
66025.2,3.0,306.4686,109.125,12.8571,7.0286,-8.6811,-3.654,9.4189,0.8486,0.5709,-1.0029,10.12,10.05,-1.23
66025.24,3.0,306.1799,109.0039,12.8571,7.0286,-8.6608,-3.6342,9.3924,0.6094,0.594,-0.7946,10.12,10.05,-1.22
66025.27,3.0,305.8919,108.8833,12.8571,7.2,-8.6403,-3.6165,9.3667,0.6171,0.5323,-0.7714,10.11,10.04,-1.21
66025.3,3.0,305.6049,108.7632,12.8571,7.0286,-8.6089,-3.6028,9.3325,0.9411,0.4089,-1.026,10.12,10.04,-1.22
66025.34,3.0,305.3189,108.6439,12.8571,7.0286,-8.5791,-3.5810000000000004,9.2965,0.8949,0.6557,-1.08,10.11,10.04,-1.21
66025.37,3.0,305.0338,108.5254,12.8571,7.5429,-8.5541,-3.5535,9.2628,0.7483,0.8254,-1.0106,10.11,10.04,-1.21
66025.4,3.0,304.7492,108.408,13.3714,7.2857,-8.5369,-3.5236,9.2355,0.5169,0.8949,-0.8177,10.11,10.03,-1.22
66025.44,3.0,304.4649,108.2916,12.8571,7.2,-8.5294,-3.4912,9.2163,0.2237,0.972,-0.5786,10.11,10.04,-1.21
66025.47,3.0,304.1805,108.1764,13.3714,7.2858,-8.5325,-3.4563,9.206,-0.0926,1.0491,-0.3086,10.11,10.04,-1.2
66025.5,3.0,303.8954,108.0624,13.8857,7.3714,-8.5541,-3.4203,9.2127,-0.648,1.08,0.2006,10.12,10.04,-1.2
66025.54,3.0,303.6097,107.9496,13.8857,7.3714,-8.5703,-3.384,9.2142,-0.486,1.0877,0.0463,10.11,10.04,-1.1900001
66025.57,3.0,303.3234,107.8379,13.3714,7.2857,-8.5881,-3.3508,9.2186,-0.5323,0.9951,0.1311,10.11,10.04,-1.21
66025.6,3.0,303.0366,107.7272,13.3714,7.4571,-8.6048,-3.3213,9.2235,-0.5014,0.8871,0.1466,10.11,10.04,-1.1900001
66025.64,3.0,302.7496,107.6174,12.8571,7.3714,-8.6091,-3.2943,9.2178,-0.1311,0.81,-0.1697,10.12,10.04,-1.2
66025.67,3.0,302.4625,107.5081,13.3714,7.5429,-8.613,-3.2778,9.2157,-0.1157,0.4937,-0.0694,10.13,10.06,-1.2
66025.7,3.0,302.1752,107.399,13.3714,7.4571,-8.6194,-3.2719,9.2196,-0.1929,0.1774,0.1157,10.12,10.05,-1.1900001
66025.74,3.0,301.8876,107.2898,13.3714,7.4571,-8.6297,-3.276,9.2307,-0.3086,-0.1234,0.3317,10.12,10.05,-1.2
